url,organizationName,type
@Seanpm2001-Dart-lang,Seanpm2001-Dart-lang,organization(ownedbyseanpm2001)
@Seanpm2001-Data,Seanpm2001-Data,organization(ownedbyseanpm2001)
@Seanpm2001-Diff-lang,Seanpm2001-Diff-lang,organization(ownedbyseanpm2001)
@Seanpm2001-Discord,Seanpm2001-Discord,organization(ownedbyseanpm2001)
@Seanpm2001-Disney,Seanpm2001-Disney,organization(ownedbyseanpm2001)
@Seanpm2001-Dockerfile-lang,Seanpm2001-Dockerfile-lang,organization(ownedbyseanpm2001)
@Seanpm2001-Documentation,Seanpm2001-Documentation,organization(ownedbyseanpm2001)
@Seanpm2001-Dronemap,Seanpm2001-Dronemap,organization(ownedbyseanpm2001)
@Seanpm2001-DuckDuckGo,Seanpm2001-DuckDuckGo,organization(ownedbyseanpm2001)
@Seanpm2001-EAGames,Seanpm2001-EAGames,organization(ownedbyseanpm2001)
@Seanpm2001-EJS-lang,Seanpm2001-EJS-lang,organization(ownedbyseanpm2001)
@Seanpm2001-Ecosia,Seanpm2001-Ecosia,organization(ownedbyseanpm2001)
@Seanpm2001-Edhesive,Seanpm2001-Edhesive,organization(ownedbyseanpm2001)
@Seanpm2001-Eiffel-lang,Seanpm2001-Eiffel-lang,organization(ownedbyseanpm2001)
@Seanpm2001-Elixir-lang,Seanpm2001-Elixir-lang,organization(ownedbyseanpm2001)
@Seanpm2001-EmacsLisp-lang,Seanpm2001-EmacsLisp-lang,organization(ownedbyseanpm2001)
@Seanpm2001-Emulators,Seanpm2001-Emulators,organization(ownedbyseanpm2001)
@Seanpm2001-Erlang-lang,Seanpm2001-Erlang-lang,organization(ownedbyseanpm2001)
@Seanpm2001-FORTRAN-Lang,Seanpm2001-FORTRAN-Lang,organization(ownedbyseanpm2001)
@Seanpm2001-FSharp-lang,Seanpm2001-FSharp-lang,organization(ownedbyseanpm2001)
@Seanpm2001-FanGames,Seanpm2001-FanGames,organization(ownedbyseanpm2001)
